ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. S-113 ;Материал: 78.8 % хлопок, 16.3 % полиэстер, 4,9% эластэн Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-113.html;https://junior35.ru;"Размер: S(1-3г) - Остаток: 9;Размер: M(3-5л) - Остаток: 20;Размер: L(6-8л) - Остаток: 23"
;Арт. S-115 ;Материал: 78.8 % хлопок, 16.3 % полиэстер, 4,9% эластэн Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-115.html;https://junior35.ru;"Размер: L(6-8л) - Остаток: 10"
;Арт. S-117 ;Материал: 78.8 % хлопок, 16.3 % полиэстер, 4,9% эластэн Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-117.html;https://junior35.ru;"Размер: S(1-3г) - Остаток: 11;Размер: M(3-5л) - Остаток: 16;Размер: L(6-8л) - Остаток: 19"
;Арт. S-119 ;Материал: 78.8 % хлопок, 16.3 % полиэстер, 4,9% эластэн Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-119.html;https://junior35.ru;"Размер: S(1-3г) - Остаток: 11;Размер: M(3-5л) - Остаток: 13;Размер: L(6-8л) - Остаток: 27"
;Арт. S-121 ;Материал: 78.8 % хлопок, 16.3 % полиэстер, 4,9% эластэн Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-121.html;https://junior35.ru;"Размер: S(1-3г) - Остаток: 15;Размер: M(3-5л) - Остаток: 23;Размер: L(6-8л) - Остаток: 29"
;Арт. S-105 ;Материал: 75% хлопок, 22% полиамид, 3% эластен Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-105.html;https://junior35.ru;"Размер: S(0-1г) - Остаток: 5;Размер: M(1-3г) - Остаток: 23;Размер: L(4-6л) - Остаток: 12;Размер: XL(7-9л) - Остаток: 16"
;Арт. S-107 ;Материал: 75% хлопок, 22% полиамид, 3% эластен Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-107.html;https://junior35.ru;"Размер: S(1-3г) - Остаток: 7;Размер: M(1-3г) - Остаток: 14;Размер: L(4-6л) - Остаток: 9;Размер: XL(7-9л) - Остаток: 7"
;Арт. S-109 ;Материал: 75% хлопок, 22% полиамид, 3% эластен Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-109.html;https://junior35.ru;"Размер: S(0-1г) - Остаток: 13;Размер: M(1-3г) - Остаток: 9;Размер: L(4-6л) - Остаток: 13;Размер: XL(7-9л) - Остаток: 17"
;Арт. S-111 ;Материал: 75% хлопок, 22% полиамид, 3% эластен Бренд: Socks  ;190;15;https://junior35.ru/noski-(upakovka,-5-sht.)-/-art.-s-111.html;https://junior35.ru;"Размер: S(0-1г) - Остаток: 14;Размер: M(1-3г) - Остаток: 17;Размер: L(4-6л) - Остаток: 27;Размер: XL(7-9л) - Остаток: 18"
;Арт. MW-1576 ;Материал: 100 % хлопок Бренд: Malwee Штаны на 2 года,длина 52 см,шаговый 35 см,ширина 31 см Штаны на 3 года,длина 55 см,шаговый 36 см,ширина 32 см Штаны на 4 года,длина 57 см,шаговый 37 см,ширина 33 см Штаны на 5 лет,длина 62 см,шаговый 43 см,ширина 34 см Штаны на 6 лет,длина 67 см,шаговый 48 см,ширина35 см Штаны на 7 лет,длина 80 см,шаговый 56 см,ширина 36 см ;330;15;https://junior35.ru/sportivnyie-shtanyi-malwee-/-art.-mw-1576.html;https://junior35.ru;"Размер: 3 - Остаток: 2;Размер: 5 - Остаток: 1;Размер: 6 - Остаток: 4;Размер: 7 - Остаток: 1"
