ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. AB-017 Платье Aosta Betty / Арт. AB-017;Материал: 100% хлопок Бренд: Aosta Betty Страна бренда: Китай Алое платье с переливающимися звездами – это то, что придется по вкусу каждой девочке, которая хочет выглядеть стильно и привлекательно. Приятная ткань впитывает влагу, будет радовать безупречным внешним видом долгое время. ;320;15;https://junior35.ru/catalog/aosta_betty/plate_aosta_betty__art_ab017;https://junior35.ru/assets/images/products/57/prod/23.png.jpg;"Размер: 2 - Остаток: 3"
;Арт. AB-007 Платье Aosta Betty / Арт. AB-007;Материал: 100% хлопок Бренд: Aosta Betty Нарядное платье с пышным низом идеально подойдет как для семейной вечеринки, так и похода в гости и пышного застолья. Изделие выполнено из натурального хлопка, на котором не образуются катышки. Платье на 2 года,длина 45 см,ширина 30 см,длина рукава 31 см Платье на 3 года,длина 49 см,ширина 31 см,длина рукава 35 см Платье на 4 года,длина 54 см,ширина 33 см,длина рукава 37 см Платье на 5 лет,длина 57 см,ширина 34 см,длина рукава 40 см Платье на 6 лет,длина 62 см,ширина 36 см,длина рукава 43 см Платье на 7 лет,длина 66 см,ширина 38 см,длина рукава 46 см ;380;15;https://junior35.ru/catalog/aosta_betty/plate_aosta_betty_art_ab007;https://junior35.ru/assets/images/products/67/prod/30.png.jpg;"Размер: 2 - Остаток: 1"
;Арт. AB-005 Платье Aosta Betty / Арт. AB-005;Материал: 100% хлопок Бренд: Aosta Betty Страна бренда: Китай Оригинальный крой платья создан для того, чтобы привлекать внимание. Полосатый верх и розовый низ с пайетками – все это для отличного настроения и броского внешнего вида. 100% натуральный материал позволяет малышу чувствовать себя уютно. ;400;15;https://junior35.ru/catalog/aosta_betty/plate_aosta_betty_art_ab005;https://junior35.ru/assets/images/products/69/prod/24.png.jpg;"Размер: 2 - Остаток: 4"
;Арт. AB-002 Платье Aosta Betty / Арт. AB-002;Материал: 100% хлопок Бренд: Aosta Betty Платье с аппликацией пингвин станет отличным решением для девочки в любую погоду. В нем никогда не будет холодно, а ткань согреет даже в промозглую погоду. Оптимальная длина идеально впишется в каждый образ. ;420;15;https://junior35.ru/catalog/aosta_betty/plate_aosta_betty_art_ab002;https://junior35.ru/assets/images/products/72/prod/27.png.jpg;"Размер: 2 - Остаток: 1"
;Арт. AB-001 Платье Aosta Betty / Арт. AB-001;Материал: 100% хлопок Бренд: Aosta Betty Страна бренда: Китай Красивое и стильное зеленое платье идеально подходит на каждый день и дарит ощущение комфорта. В нем не будет жарко за счет того, что ткань отлично циркулирует воздух. ;340;15;https://junior35.ru/catalog/aosta_betty/plate_aosta_betty_art_ab001;https://junior35.ru/assets/images/products/73/prod/28.png.jpg;"Размер: 2 - Остаток: 1"
;Арт. K-094 Пижама кигуруми взрослая;Материал: Велсофт Бренд: Kigurumi длина от плеча до низа 145 см, ширина 50* 2 ;620;15;https://junior35.ru/catalog/Kigurumi/pizhama__kigurumi_vzroslaya_art_k094;https://junior35.ru/assets/images/products/343/prod/1459.jpg;"Размер: Единый размер ( рост 165-175) - Остаток: 9"
;Арт. K-069 Пижама кигуруми взрослая;Материал: Велсофт Бренд: Kigurumi  ;620;15;https://junior35.ru/catalog/Kigurumi/pizhama__kigurumi_vzroslaya__art_k069;https://junior35.ru/assets/images/products/368/prod/11.png.jpg;"Размер: L - Остаток: 1"
;Арт. K-048 Пижама Кигуруми Коржик (взр.);Материал: Велсофт Бренд: Kigurumi  ;620;15;https://junior35.ru/catalog/Kigurumi/pizhama_kigurumi_korzhik_vzr__art_k048;https://junior35.ru/assets/images/products/390/prod/468.jpg;"Размер: S - Остаток: 1;Размер: M - Остаток: 3;Размер: L - Остаток: 2"
;Арт. K-043 Пижама Кигуруми Синий единорог (взр.);Материал: Велсофт Бренд: Kigurumi  ;690;15;https://junior35.ru/catalog/Kigurumi/pizhama_kigurumi_siniy_edinorog_vzr__art_k043;https://junior35.ru/assets/images/products/394/prod/15.png.jpg;"Размер: L - Остаток: 1"
;Арт. LM-763 Платье Little Maven;Материал: 100% хлопок Бренд: Little Maven Страна бренда: США  ;260;15;https://junior35.ru/catalog/littlemaven/plate_little_maven_art_lm763;https://junior35.ru/assets/images/products/1537/prod/1.jpg;"Размер: 18 мес - Остаток: 3;Размер: 2 - Остаток: 1"
;Арт. SH-054 Штаны Shishco;Материал: 100% хлопок Бренд: Shishco Страна бренда: Узбекистан  ;220;15;https://junior35.ru/catalog/shishco/shtany_shishco_art_sh054;https://junior35.ru/assets/images/products/2577/prod/14.jpg;"Размер: 2 г - Остаток: 1"
;Арт. SH-052 Штаны Shishco;Материал: 100% хлопок Бренд: Shishco Страна бренда: Узбекистан  ;220;15;https://junior35.ru/catalog/shishco/shtany_shishco_art_sh052;https://junior35.ru/assets/images/products/2575/prod/15.jpg;"Размер: 2 - Остаток: 1"
;Арт. LM-1516 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США Платье на 2 года,длина 43 см,ширина 28 см Платье на 3 года,длина 46 см,ширина 30 см Платье на 4 года,длина 50 см,ширина 31 см Платье на 5 лет,длина 55 см,ширина 33 см Платье на 6 лет,длина 60 см,ширина 34 см Платье на 7 лет,длина 63 см,ширина 36 см ;380;15;https://junior35.ru/catalog/littlemaven/plate__little_maven_art_lm1516;https://junior35.ru/assets/images/products/3604/prod/226.jpg;"Размер: 6 - Остаток: 1;Размер: 7 - Остаток: 2"
;Арт. MW-1393 Бриджи Malwee;Материал: 100 % хлопок Бренд: Malwee Бриджи на 2 года,длина 34 см,ширина 31 см Бриджи на 3 года,длина 36 см,ширина 32 см Бриджи на 4 года,длина 39 см,ширина  33 см Бриджи на 5 лет,длина 41 см,ширина 34 см Бриджи на 6 лет,длина 43 см,ширина 36 см Бриджи на 7 лет,длина 46 см,ширина 37 см ;250;15;https://junior35.ru/catalog/jumpingbeans/bridzhi_malwee__art_mw1393;https://junior35.ru/assets/images/products/3626/prod/148.jpg;"Размер: 5 - Остаток: 1;Размер: 6 - Остаток: 7"
;Арт. BR-001 Платье Breeze;Материал: 95 % хлопок, 5% эластен Бренд: Breeze Страна бренда: Турция  ;460;15;https://junior35.ru/catalog/breeze/plate_breeze_art_br001;https://junior35.ru/assets/images/products/3373/prod/001.jpg;"Размер: 92 см - Остаток: 1"
