ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. MW-1121 Футболка с длинным рукавом Malwee;Материал: 100 % хлопок Бренд: Malwee  ;220;15;https://junior35.ru/catalog/jumpingbeans/futbolka_s_dlinnym_rukavom_malwee_art_mw1121;https://junior35.ru/assets/images/products/2634/prod/47.jpg;"Размер: 2 г - Остаток: 1"
;Арт. LM-643 Футболка Little Maven;Материал: 100% хлопок Бренд: Little Maven Страна бренда: США  ;170;15;https://junior35.ru/catalog/littlemaven/futbolka_little_maven_art_lm643;https://junior35.ru/assets/images/products/1358/prod/643.jpg;"Размер: 18 мес - Остаток: 6;Размер: 2 - Остаток: 2"
;Арт. S-081 Носки Caramella (подарочная упаковка, 4 шт.);Материал: 78%хлопок,19 % полиэстер, 3% эластен Бренд: Socks  ;315;15;https://junior35.ru/noski-caramella-(podarochnaya-upakovka,-4-sht.)-/-art.-s-081.html;https://junior35.ru/assets/images/products/3180/prod/79.jpg;"Размер: S(1-3г) - Остаток: 3;Размер: M(3-5л) - Остаток: 13"
;Арт. S-086 Носки махровые (подарочная упаковка, 4 шт.);Материал: 83%хлопок,14 % полиэстер, 3% эластен Бренд: Socks  ;320;15;https://junior35.ru/catalog/socks/noski_makhrovye_podarochnaya_upakovka_4_sht_art_s086;https://junior35.ru/assets/images/products/3185/prod/15.jpg;"Размер: M(3-5л) - Остаток: 16"
;Арт. S-085 Носки махровые (подарочная упаковка, 4 шт.);Материал: 83%хлопок,4 % полиэстер, 3% эластен Бренд: Socks  ;320;15;https://junior35.ru/catalog/socks/noski_makhrovye_podarochnaya_upakovka_4_sht_art_s085;https://junior35.ru/assets/images/products/3184/prod/16.jpg;"Размер: M(3-5л) - Остаток: 9"
;Арт. T-054 Колготки;Материал: 75% хлопок, 20% полиамид, 5% эластен  ;110;15;https://junior35.ru/kolgotki-/-art.-t-054.html;https://junior35.ru/assets/images/products/2941/prod/30.jpg;"Размер: 74-80 - Остаток: 3"
;Арт. LM-1349 Футболка Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;220;15;https://junior35.ru/catalog/littlemaven/futbolka__little_maven_art_lm1349;https://junior35.ru/assets/images/products/3224/prod/24.jpg;"Размер: 2 - Остаток: 2"
;Арт. LM-1350 Футболка Little Maven;Материал: 100 % хлопок Бренд: Little Maven Страна бренда: США  ;220;15;https://junior35.ru/catalog/littlemaven/futbolka__little_maven_art_lm1350;https://junior35.ru/assets/images/products/3225/prod/36.jpg;"Размер: 2 - Остаток: 3"
;Арт. CR-161 Комплект из трёх предметов Carters;Материал: 100% хлопок Бренд: Carters Комплект на 6 мес.- длина футболки 31 см, ширина 27 см. длина шорт 19 см, ширина 27 см. длина боди 40 см, ширина 23 см Комплект на 9 мес.- длина футболки 32 см, ширина 28 см. длина шорт 21 см, ширина 29 см. длина боди 42 см, ширина 24 см Комплект на 12 мес- длина футболка 33 см, ширина 29 см. длина шорт 23 см, ширина 29 см. длина боди 43 см, ширина 26 см Комплект на 18 мес- длина футболки 35 см, ширина 30 см. длина шорт 24 см, ширина 30 см. длина боди 45 см, ширина 27 см Комплект на 24 мес- длина футболки 37 см, ширина 31 см. длина шорт 26 см, ширина 32 см. длина боди 49 см, ширина 28 см ;440;15;https://junior35.ru/catalog/carters/komplekt_iz_tryekh_predmetov_carters_art_cr161;https://junior35.ru/assets/images/products/3495/prod/25.jpg;"Размер: 6 мес - Остаток: 1"
;Арт. CR-165 Комплект из трёх предметов Carters;Материал: 100% хлопок Бренд: Carters Комплект на 6 мес- длина футболки 31 см, ширина 25 см. длина шорт 22 см, ширина 26 см. длина боди 40 см, ширина 20 см Комплект на 9 мес- длина футболки 32 см, ширина 26 см. длина шорт 23 см, ширина 27 см. длина боди 42 см, ширина 21 см Комплект на 12 мес- длина футболки 34 см, ширина 27 см. длина шорт 25 см, ширина 28 см. длина боди 45 см, ширина 22 см Комплект на 18 мес- длина футболки 35 см, ширина 28 см. длина шорт 27 см, ширина 29 см. длина боди 47 см, ширина 24 см Комплект на 24 мес- длина футболки 38 см, ширина 29 см. длина шорт 29 см, ширина 30 см. длина боди 49 см, ширина 25 см ;440;15;https://junior35.ru/catalog/carters/komplekt_iz_tryekh_predmetov_carters_art_cr165;https://junior35.ru/assets/images/products/3499/prod/19.jpg;"Размер: 6 мес - Остаток: 1"
