ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. ВP-111 Ранец;Бренд: Backpack  ;1 400;15;https://junior35.ru/ranecz-/-art.-vp-111.html;https://junior35.ru/assets/images/products/5486/prod/102.jpg;"Размер: 37*30*17 - Остаток: 6"
;Арт. ВP-110 Ранец;Бренд: Backpack  ;1 400;15;https://junior35.ru/ranecz-/-art.-vp-110.html;https://junior35.ru/assets/images/products/5485/prod/101.jpg;"Размер: 37*30*17 - Остаток: 6"
;Арт. ВP-107 Ранец;Бренд: Backpack  ;1 400;15;https://junior35.ru/ranecz-/-art.-vp-107.html;https://junior35.ru/assets/images/products/5482/prod/98.jpg https://junior35.ru/assets/images/products/5482/prod/9801.jpg https://junior35.ru/assets/images/products/5482/prod/9802.jpg;"Размер: 37*30*17 - Остаток: 5"
;Арт. ВP-106 Ранец / Арт. ВP-106;Бренд: Backpack  ;1 300;15;https://junior35.ru/ranecz-/-art.-vp-106.html;https://junior35.ru/assets/images/products/5481/prod/96.jpg;"Размер: 40*24*14 - Остаток: 2"
;Арт. ВP-105 Ранец;Бренд: Backpack  ;1 300;15;https://junior35.ru/ranecz-/-art.-vp-105.html;https://junior35.ru/assets/images/products/5480/prod/97.jpg;"Размер: 40*24*14 - Остаток: 3"
;Арт. ВP-102 Ранец;Бренд: Backpack  ;1 300;15;https://junior35.ru/ranecz-/-art.-vp-102.html;https://junior35.ru/assets/images/products/5477/prod/93.jpg;"Размер: 40*24*14 - Остаток: 4"
;Арт. CR-356 Комбинезон хлопковый Carters;Бренд: Carters 3 мес-длина 50 см,ширина 25см 6 мес-длина 57 см,ширина 26 см 9 мес-длина 61 см,ширина 28 см 12 см-длина 65 см,ширна 29 см ;380;15;https://junior35.ru/kombinezon-carters-/-art.-cr-356.html;https://junior35.ru/assets/images/products/5472/prod/173.jpg;"Размер: 3 - Остаток: 4;Размер: 6 - Остаток: 5;Размер: 9 - Остаток: 5;Размер: 12 - Остаток: 4"
;Арт. CR-355 Комбинезон хлопковый Carters;Бренд: Carters 3 мес-длина 50 см,ширина 25см 6 мес-длина 57 см,ширина 26 см 9 мес-длина 61 см,ширина 28 см 12 см-длина 65 см,ширна 29 см ;380;15;https://junior35.ru/kombinezon-carters-/-art.-cr-355.html;https://junior35.ru/assets/images/products/5471/prod/174.jpg;"Размер: 3 - Остаток: 5;Размер: 6 - Остаток: 5;Размер: 9 - Остаток: 5;Размер: 12 - Остаток: 2"
;Арт. CR-354 Комбинезон хлопковый Carters;Бренд: Carters 3 мес-длина 48 см,ширина 25см 6 мес-длина 54 см,ширина 26 см 9 мес-длина 59 см,ширина 27 см 12 см-длина 62 см,ширна 28 см ;380;15;https://junior35.ru/kombinezon-carters-/-art.-cr-354.html;https://junior35.ru/assets/images/products/5470/prod/175.jpg;"Размер: 3 - Остаток: 4;Размер: 6 - Остаток: 5;Размер: 9 - Остаток: 5;Размер: 12 - Остаток: 4"
;Арт. CR-353 Комбинезон хлопковый Carters;Бренд: Carters 3 мес-длина 48 см,ширина 25см 6 мес-длина 54 см,ширина 26 см 9 мес-длина 59 см,ширина 27 см 12 см-длина 62 см,ширна 28 см ;380;15;https://junior35.ru/kombinezon-carters-/-art.-cr-353.html;https://junior35.ru/assets/images/products/5469/prod/181.jpg;"Размер: 3 - Остаток: 4;Размер: 6 - Остаток: 4;Размер: 9 - Остаток: 4;Размер: 12 - Остаток: 3"
;Арт. CR-350 Толстовка Carters;Бренд: Carters 9 мес-длина 30 см,ширина 29 см 12 мес-длина 31 см,ширина 31 см 18 мес-длина 33 см,ширина 32 см 24 мес-длина 34 см,ширина 34 см 3года-длина 36 см,ширина 35 см ;355;15;https://junior35.ru/tolstovka-carters-/-art.-cr-350.html;https://junior35.ru/assets/images/products/5466/prod/179.jpg;"Размер: 9 - Остаток: 2"
;Арт. CR-349 Песочник Carters;Бренд: Carters 6 мес- длина 40 см, ширина 25 см 9 мес- длина 41 см, ширина 28 см 12 мес- длина 42 см, ширина 29 см 18 мес- длина 46 см, ширина 30 см 24 мес- длина 48 см, ширина 31 см ;295;15;https://junior35.ru/pesochnik-carters-/-art.-cr-349.html;https://junior35.ru/assets/images/products/5465/prod/176.jpg;"Размер: 6 - Остаток: 3;Размер: 9 - Остаток: 3;Размер: 12 - Остаток: 2;Размер: 18 - Остаток: 3;Размер: 24 - Остаток: 3"
