ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. LM-1969 Костюм утепленный Little Maven;Бренд: Little Maven 2 года - кофта длина 35 см, ширина 30 см, длина рукава 34 см, штаны длина 50 см, ширина 32 см 3 года - кофта длина 37 см, ширина 32 см, длина рукава 36 см, штаны длина 55 см, ширина 34 см 4 года - кофта длина 39 см, ширина 34 см, длина рукава 42 см, штаны длина 63 см, ширина 38 см 5 лет - кофта длина 42 см, ширина 37 см, длина рукава 44 см, штаны длина 66 см, ширина 39 см 6 лет - кофта длина 45 см, ширина 37 см, длина рукава 49 см, штаны длина 74 см, ширина 42 см 7 лет - кофта длина 46 см, ширина 40 см, длина рукава 53 см, штаны длина 77 см, ширина 44 см ;1100.0;15;https://junior-35.ru/kostyum-na-mexu-little-maven-/-art.-lm-1969.html;https://junior-35.ru//assets/images/products/6088/prod/23.jpg https://junior-35.ru//assets/images/products/6088/prod/qip-shot-screen-4734.jpg;"Размер: 7 - Остаток: 3"
;Арт. LM-2041 Платье Little Maven;Материал: 100 % хлопок Бренд: Little Maven 2 года - длина 49 см,ширина 29 см 3 года - длина 53 см,ширина 31 см 4 года - длина 57 см,ширина 31 см 5 лет - длина 61 см,ширина 32 см 6 лет - длина 64 см,ширина 33 см 7 лет - длина 67 см,ширина 34 см ;540.0;15;https://junior-35.ru/plate-little-maven-/-art.-lm-2041.html;https://junior-35.ru//assets/images/products/6620/prod/53.jpg https://junior-35.ru//assets/images/products/6620/prod/54.jpg;"Размер: 2 - Остаток: 7;Размер: 3 - Остаток: 4;Размер: 4 - Остаток: 1;Размер: 5 - Остаток: 1"
;Арт. AS-247 Резинки (набор 10 шт.);Бренд: Accessories  ;95.0;15;https://junior-35.ru/rezinki-(nabor-10-sht.)/-art.-as-247.html;https://junior-35.ru//assets/images/products/6919/prod/qip-shot-screen-5674.jpg;"Размер: Единый - Остаток: 1"
;Арт. LM-2147 Костюм утепленный Little Maven;Материал: 65%хлопок, 35% полиэстер Бренд: Little Maven 2 года,кофта длина 35 см,ширина 30 см,длина рукава 34 см от горловины,штаны длина 48 см,ширина 31 см  3 года,кофта длина 37 см,ширина 32 см,длина рукава 36 см от горловины,штаны длина 56 см,ширина 34 см  4 года,кофта длина 39 см,ширина 33 см,длина рукава 39 см от горловины,штаны длина 60 см,ширина 37 см  5 лет,кофта длина 42 см,ширина 34 см,длина рукава 43 см от горловины,штаны длина 64 см,ширина 38 см  6 лет,кофта длина 45 см,ширина 35 см,длина рукава 46 см от горловины,штаны длина 70 см,ширина 40 см  7 лет,кофта длина 49 см,ширина 37 см,длина рукава 50 см от горловины,штаны длина 78 см,ширина 41 см ;1100.0;15;https://junior-35.ru/kostyum-na-flise-little-maven-/-art.-lm-2147.html;https://junior-35.ru//assets/images/products/6988/prod/qip-shot-screen-1797.jpg https://junior-35.ru//assets/images/products/6988/prod/qip-shot-screen-1798.jpg;"Размер: 2 - Остаток: 4"
;Арт. JM-218 Лосины Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters 2 года - длина 45 см,шаговый 30 см,ширина 24 см 3 года - длина 50 см,шаговый 34 см,ширина 25 см 4 года - длина 56 см,шаговый 40 см,ширина 26 см 5 лет - длина 60 см,шаговый 42 см,ширина 26 см 6 лет - длина 66 см,шаговый 47 см,ширина 27 см 7 лет - длина 69 см,шаговый 50 см,ширина 28 см ;310.0;15;https://junior-35.ru/losinyi-jumping-meters-/-art.-jm-218.html;https://junior-35.ru//assets/images/products/7148/prod/243.jpg https://junior-35.ru//assets/images/products/7148/prod/244.jpg;"Размер: 7 - Остаток: 2"
;Арт. LM-2216 Спортивные штаны Little Maven;Материал: 100% хлопок Бренд: Little Maven 3 года - длина 52 см, шаговый 33 см, ширина 33 см 4 года - длина 58 см, шаговый 37 см, ширина 34 см 5 лет - длина 61 см, шаговый 41 см, ширина 36 см 6 лет - длина 68 см, шаговый 47 см, ширина 38 см 7 лет - длина 77 см, шаговый 52 см, ширина 41 см ;395.0;15;https://junior-35.ru/sportivnyie-shtanyi-little-maven-/-art.-lm-2216.html;https://junior-35.ru//assets/images/products/7206/prod/77.jpg;"Размер: 3 - Остаток: 4"
;Арт. LM-2215 Спортивные штаны Little Maven;Материал: 100% хлопок Бренд: Little Maven 3 года - длина 52 см, шаговый 33 см, ширина 33 см 4 года - длина 58 см, шаговый 37 см, ширина 34 см 5 лет - длина 61 см, шаговый 41 см, ширина 36 см 6 лет - длина 68 см, шаговый 47 см, ширина 38 см 7 лет - длина 77 см, шаговый 52 см, ширина 41 см ;395.0;15;https://junior-35.ru/sportivnyie-shtanyi-little-maven-/-art.-lm-2215.html;https://junior-35.ru//assets/images/products/7205/prod/76.jpg;"Размер: 3 - Остаток: 1"
;Арт. MW-2229 Лосины Malwee;Материал: 100 % хлопок Бренд: Malwee 2 года - длина 51 см,шаговый 36 см,ширина 26 см  3 года - длина 54 см,шаговый 39 см,ширина 27 см  4 года - длина 58 см,шаговый 41 см,ширина 28 см  5 лет - длина 61 см,шаговый 44 см,ширина 29 см  6 лет - длина 68 см,шаговый 50 см,ширина 30 см  7 лет - длина 70 см,шаговый 52 см,ширина 31 см ;310.0;15;https://junior-35.ru/losinyi-malwee-/-art.-mw-2229.html;https://junior-35.ru//assets/images/products/7499/prod/230.jpg https://junior-35.ru//assets/images/products/7499/prod/231.jpg;"Размер: 6 - Остаток: 1"
;Арт. JM-279 Платье Jumping meters;Материал: 100 % хлопок Бренд: Jumping Meters  ;580.0;15;https://junior-35.ru/plate-jumping-meters-/-art.-jm-279.html;https://junior-35.ru//assets/images/products/7567/prod/363.jpg https://junior-35.ru//assets/images/products/7567/prod/365.jpg;"Размер: 2 - Остаток: 2;Размер: 3 - Остаток: 3;Размер: 4 - Остаток: 4;Размер: 6 - Остаток: 3;Размер: 7 - Остаток: 3"
;Арт. LM-2290 Костюм на флисе Little Maven;Материал: 35%хлопок, 65% полиэстер Бренд: Little Maven 3 года - кофта длина 38 см, ширина 32 см, длина рукава 32 см, шорты длина 26 см, ширина 30 см 4 года - кофта длина 40 см, ширина 33 см, длина рукава 35 см, шорты длина 27 см, ширина 32 см 5 лет - кофта длина 42 см, ширина 36 см, длина рукава 38 см, шорты длина 28 см, ширина 33 см 6 лет - кофта длина 45 см, ширина 37 см, длина рукава 43 см, шорты длина 29 см, ширина 34 см 7 лет - кофта длина 48 см, ширина 40 см, длина рукава 46 см, шорты длина 30 см, ширина 36 см ;790.0;15;https://junior-35.ru/kostyum-na-flise-little-maven-/-art.-lm-2290.html;https://junior-35.ru//assets/images/products/8039/prod/qip-shot-screen-2077.jpg https://junior-35.ru//assets/images/products/8039/prod/qip-shot-screen-2078.jpg https://junior-35.ru//assets/images/products/8039/prod/qip-shot-screen-2079.jpg;"Размер: 5 - Остаток: 1"
