ID товара;наименование;описание;цена;орг %;ccылка на товар на сайте поставщика;ссылки на Фото;размер
;Арт. GP-629 Костюм Growprint;Материал: 100 % хлопок Бренд: Growprint  ;630.0;15;https://junior-35.ru/kostyum-growprint-/-art.-gp-629.html;https://junior-35.ru//assets/images/products/10119/prod/qip-shot-screen-6042.jpg;"Размер: 6 мес - Остаток: 2;Размер: 9 мес - Остаток: 3;Размер: 12 мес - Остаток: 1;Размер: 18 мес - Остаток: 2;Размер: 24 мес - Остаток: 1"
;Арт. GP-628 Костюм Growprint;Материал: 100 % хлопок Бренд: Growprint  ;340.0;15;https://junior-35.ru/kostyum-growprint-/-art.-gp-628.html;https://junior-35.ru//assets/images/products/10118/prod/qip-shot-screen-6041.jpg;"Размер: 6 мес - Остаток: 2;Размер: 18 мес - Остаток: 2;Размер: 24 мес - Остаток: 1"
;Арт. GP-626 Костюм Growprint;Материал: 100 % хлопок Бренд: Growprint  ;340.0;15;https://junior-35.ru/kostyum-growprint-/-art.-gp-626.html;https://junior-35.ru//assets/images/products/10116/prod/qip-shot-screen-6039.jpg;"Размер: 6 мес - Остаток: 4;Размер: 9 мес - Остаток: 4;Размер: 12 мес - Остаток: 2"
;Арт. GP-620 Костюм Growprint;Материал: 100 % хлопок Бренд: Growprint  ;590.0;15;https://junior-35.ru/kostyum-growprint-/-art.-gp-620.html;https://junior-35.ru//assets/images/products/10110/prod/qip-shot-screen-6030.jpg;"Размер: 6 мес - Остаток: 4;Размер: 9 мес - Остаток: 3"
;Арт. GP-619 Костюм Growprint;Материал: 100 % хлопок Бренд: Growprint  ;590.0;15;https://junior-35.ru/kostyum-growprint-/-art.-gp-619.html;https://junior-35.ru//assets/images/products/10109/prod/qip-shot-screen-6029.jpg;"Размер: 6 мес - Остаток: 5;Размер: 9 мес - Остаток: 6;Размер: 12 мес - Остаток: 4;Размер: 18 мес - Остаток: 2;Размер: 24 мес - Остаток: 4"
;Арт. GP-618 Костюм Growprint;Материал: 100 % хлопок Бренд: Growprint  ;590.0;15;https://junior-35.ru/kostyum-growprint-/-art.-gp-618.html;https://junior-35.ru//assets/images/products/10108/prod/qip-shot-screen-6028.jpg;"Размер: 6 мес - Остаток: 1"
;Арт. GP-617 Костюм Growprint;Материал: 100 % хлопок Бренд: Growprint  ;590.0;15;https://junior-35.ru/kostyum-growprint-/-art.-gp-617.html;https://junior-35.ru//assets/images/products/10107/prod/qip-shot-screen-6027.jpg;"Размер: 6 мес - Остаток: 2;Размер: 9 мес - Остаток: 1"
;Арт. MW-2805 Костюм Malwee;Материал: 100 % хлопок Бренд: Malwee  ;570.0;15;https://junior-35.ru/futbolka-malwee-/-art.-mw-2805.html;https://junior-35.ru//assets/images/products/10079/prod/qip-shot-screen-6026.jpg;"Размер: 3 - Остаток: 2;Размер: 5 - Остаток: 2;Размер: 6 - Остаток: 3;Размер: 7 - Остаток: 5"
;Арт. WK-063 Поло WELLKIDS;Бренд: WELLKIDS  ;395.0;15;https://junior-35.ru/polo-wellkids-/-art.-wk-063.html;https://junior-35.ru//assets/images/products/10105/prod/qip-shot-screen-6024.jpg;"Размер: 120 - Остаток: 4;Размер: 130 - Остаток: 1"
;Арт. WK-061 Поло WELLKIDS;Бренд: WELLKIDS  ;390.0;15;https://junior-35.ru/polo-wellkids-/-art.-wk-061.html;https://junior-35.ru//assets/images/products/10103/prod/qip-shot-screen-6014.jpg https://junior-35.ru//assets/images/products/10103/prod/qip-shot-screen-6015.jpg https://junior-35.ru//assets/images/products/10103/prod/qip-shot-screen-6016.jpg;"Размер: 120 - Остаток: 6"
;Арт. MW-2808 Костюм Malwee;Материал: 100 % хлопок Бренд: Malwee  ;590.0;15;https://junior-35.ru/kostyum-malwee-/-art.-mw-2808.html;https://junior-35.ru//assets/images/products/10082/prod/qip-shot-screen-5984.jpg https://junior-35.ru//assets/images/products/10082/prod/qip-shot-screen-5985.jpg https://junior-35.ru//assets/images/products/10082/prod/qip-shot-screen-5986.jpg;"Размер: 2 - Остаток: 3;Размер: 3 - Остаток: 2;Размер: 4 - Остаток: 6;Размер: 5 - Остаток: 5;Размер: 6 - Остаток: 2;Размер: 7 - Остаток: 3"
;Арт. MW-2804 Футболка Malwee;Материал: 100 % хлопок Бренд: Malwee  ;310.0;15;https://junior-35.ru/futbolka-malwee-/-art.-mw-2804.html;https://junior-35.ru//assets/images/products/10078/prod/qip-shot-screen-5977.jpg;"Размер: 2 - Остаток: 1;Размер: 3 - Остаток: 2;Размер: 4 - Остаток: 2;Размер: 5 - Остаток: 2;Размер: 6 - Остаток: 6;Размер: 7 - Остаток: 6"
;Арт. S-560 Носки (упаковка, 5 шт.);Материал: 71,4%хлопок, 26,5%полиэстер, 2,1% эластен Бренд: Socks  ;235.0;15;https://junior-35.ru/noski-(upakovka,-5-sht.)-/-art.-s-560.html;https://junior-35.ru//assets/images/products/10076/prod/qip-shot-screen-5967.jpg https://junior-35.ru//assets/images/products/10076/prod/qip-shot-screen-5968.jpg;"Размер: S(1-3г) - Остаток: 1;Размер: M(3-5л) - Остаток: 7;Размер: L(5-8л) - Остаток: 21"
;Арт. S-554 Носки (упаковка, 5 шт.);Материал: 78,6% хлопок, 17,8% полиэстер, 3,6% эластан Бренд: Socks  ;245.0;15;https://junior-35.ru/noski-(upakovka,-5-sht.)-/-art.-s-554.html;https://junior-35.ru//assets/images/products/10004/prod/qip-shot-screen-5960.jpg https://junior-35.ru//assets/images/products/10004/prod/qip-shot-screen-5961.jpg;"Размер: S(1-3г) - Остаток: 11;Размер: M(3-5л) - Остаток: 1;Размер: L(5-8л) - Остаток: 6"
;Арт. FK-233 Костюм Forest Kingdom;Материал: 100 % хлопок Бренд: Forest Kingdom  ;560.0;15;https://junior-35.ru/kostyum-forest-kingdom-/-art.-fk-233.html;https://junior-35.ru//assets/images/products/10069/prod/qip-shot-screen-5917.jpg https://junior-35.ru//assets/images/products/10069/prod/qip-shot-screen-5918.jpg;"Размер: 100 - Остаток: 1;Размер: 140 - Остаток: 4"
;Арт. FK-228 Футболка Forest Kingdom;Материал: 100 % хлопок Бренд: Forest Kingdom  ;290.0;15;https://junior-35.ru/futbolka-forest-kingdom-/-art.-fk-228.html;https://junior-35.ru//assets/images/products/10064/prod/qip-shot-screen-5937.jpg https://junior-35.ru//assets/images/products/10064/prod/qip-shot-screen-5938.jpg;"Размер: 90 - Остаток: 6;Размер: 100 - Остаток: 6;Размер: 110 - Остаток: 6;Размер: 120 - Остаток: 7;Размер: 130 - Остаток: 6;Размер: 140 - Остаток: 6"
;Арт. FK-227 Футболка Forest Kingdom;Материал: 100 % хлопок Бренд: Forest Kingdom  ;290.0;15;https://junior-35.ru/futbolka-forest-kingdom-/-art.-fk-227.html;https://junior-35.ru//assets/images/products/10063/prod/qip-shot-screen-5929.jpg https://junior-35.ru//assets/images/products/10063/prod/qip-shot-screen-5930.jpg;"Размер: 90 - Остаток: 6;Размер: 100 - Остаток: 7;Размер: 110 - Остаток: 6;Размер: 120 - Остаток: 5;Размер: 130 - Остаток: 2;Размер: 140 - Остаток: 3"
;Арт. FK-226 Футболка Forest Kingdom;Материал: 100 % хлопок Бренд: Forest Kingdom  ;290.0;15;https://junior-35.ru/futbolka-forest-kingdom-/-art.-fk-226.html;https://junior-35.ru//assets/images/products/10062/prod/qip-shot-screen-5935.jpg https://junior-35.ru//assets/images/products/10062/prod/qip-shot-screen-5936.jpg;"Размер: 90 - Остаток: 4;Размер: 100 - Остаток: 1;Размер: 120 - Остаток: 2;Размер: 130 - Остаток: 4"
;Арт. LM-2762 Шорты Little Maven;Материал: 100 % хлопок Бренд: Little Maven  ;420.0;15;https://junior-35.ru/shortyi-little-maven-/-art.-lm-2762.html;https://junior-35.ru//assets/images/products/10043/prod/qip-shot-screen-5900.jpg;"Размер: 6 - Остаток: 1"
;Арт. LM-2761 Шорты Little Maven;Материал: 100 % хлопок Бренд: Little Maven  ;420.0;15;https://junior-35.ru/shortyi-little-maven-/-art.-lm-2761.html;https://junior-35.ru//assets/images/products/10042/prod/qip-shot-screen-5884.jpg https://junior-35.ru//assets/images/products/10042/prod/qip-shot-screen-5885.jpg https://junior-35.ru//assets/images/products/10042/prod/qip-shot-screen-5886.jpg;"Размер: 2 - Остаток: 2;Размер: 3 - Остаток: 6;Размер: 4 - Остаток: 5;Размер: 5 - Остаток: 7;Размер: 6 - Остаток: 2;Размер: 7 - Остаток: 6"
;Арт. LM-2770 Костюм Little Maven;Материал: 100 % хлопок Бренд: Little Maven  ;610.0;15;https://junior-35.ru/kostyum-little-maven-/-art.-lm-2770.html;https://junior-35.ru//assets/images/products/10051/prod/qip-shot-screen-5901.jpg https://junior-35.ru//assets/images/products/10051/prod/qip-shot-screen-5902.jpg;"Размер: 2 - Остаток: 2;Размер: 3 - Остаток: 6;Размер: 4 - Остаток: 5;Размер: 5 - Остаток: 4;Размер: 6 - Остаток: 3;Размер: 7 - Остаток: 4"
;Арт. AB-126 Футболка Aosta Betty;Материал: 100 % хлопок Бренд: Aosta Betty 2 года - длина 39 см, ширина 29 см 3 года - длина 41 см, ширина 31 см 4 года - длина 43 см, ширина 33 см 5 лет - длина 46 см, ширина 34 см 6 лет - длина 47 см, ширина 35 см 7 лет - длина 49 см, ширина 38 см ;310.0;15;https://junior-35.ru/futbolka-aosta-betty-/-art.-ab-126.html;https://junior-35.ru//assets/images/products/10021/prod/qip-shot-screen-5836.jpg;"Размер: 2 - Остаток: 4;Размер: 3 - Остаток: 3;Размер: 5 - Остаток: 6;Размер: 6 - Остаток: 8;Размер: 7 - Остаток: 5"
;Арт. AB-127 Футболка Aosta Betty;Материал: 100 % хлопок Бренд: Aosta Betty 2 года - длина 39 см, ширина 29 см 3 года - длина 41 см, ширина 31 см 4 года - длина 43 см, ширина 33 см 5 лет - длина 46 см, ширина 34 см 6 лет - длина 47 см, ширина 35 см 7 лет - длина 49 см, ширина 38 см ;310.0;15;https://junior-35.ru/futbolka-aosta-betty-/-art.-ab-127.html;https://junior-35.ru//assets/images/products/10022/prod/qip-shot-screen-5837.jpg https://junior-35.ru//assets/images/products/10022/prod/qip-shot-screen-5838.jpg;"Размер: 2 - Остаток: 1;Размер: 6 - Остаток: 6;Размер: 7 - Остаток: 1"
;Арт. AB-128 Футболка Aosta Betty;Материал: 100 % хлопок Бренд: Aosta Betty 2 года - длина 39 см, ширина 29 см 3 года - длина 41 см, ширина 31 см 4 года - длина 43 см, ширина 33 см 5 лет - длина 46 см, ширина 34 см 6 лет - длина 47 см, ширина 35 см 7 лет - длина 49 см, ширина 38 см ;310.0;15;https://junior-35.ru/futbolka-aosta-betty-/-art.-ab-128.html;https://junior-35.ru//assets/images/products/10023/prod/qip-shot-screen-5841.jpg https://junior-35.ru//assets/images/products/10023/prod/qip-shot-screen-5842.jpg;"Размер: 2 - Остаток: 1;Размер: 3 - Остаток: 1;Размер: 5 - Остаток: 1;Размер: 6 - Остаток: 1;Размер: 7 - Остаток: 3"
;Арт. AB-129 Футболка Aosta Betty;Материал: 100 % хлопок Бренд: Aosta Betty 2 года - длина 39 см, ширина 29 см 3 года - длина 41 см, ширина 31 см 4 года - длина 43 см, ширина 33 см 5 лет - длина 46 см, ширина 34 см 6 лет - длина 47 см, ширина 35 см 7 лет - длина 49 см, ширина 38 см ;310.0;15;https://junior-35.ru/futbolka-aosta-betty-/-art.-ab-129.html;https://junior-35.ru//assets/images/products/10024/prod/qip-shot-screen-5865.jpg;"Размер: 2 - Остаток: 4;Размер: 3 - Остаток: 3;Размер: 4 - Остаток: 3;Размер: 5 - Остаток: 7;Размер: 6 - Остаток: 3"
;Арт. AB-135 Шорты Aosta Betty;Материал: 100 % хлопок Бренд: Aosta Betty 2 года - длина 31 см,ширина 32 см 3 года - длина 32 см,ширина 35 см 4 года - длина 34 см,ширина 36 см 5 лет - длина 35 см,ширина 39 см 6 лет - длина 38 см,ширина 40 см 7 лет - длина 40 см,ширина 44 см ;420.0;15;https://junior-35.ru/shortyi-aosta-betty-/-art.-ab-135.html;https://junior-35.ru//assets/images/products/10030/prod/qip-shot-screen-5873.jpg https://junior-35.ru//assets/images/products/10030/prod/qip-shot-screen-5874.jpg https://junior-35.ru//assets/images/products/10030/prod/qip-shot-screen-5875.jpg;"Размер: 4 - Остаток: 1;Размер: 5 - Остаток: 2;Размер: 7 - Остаток: 2"
